 0, 615.56177,-3.2527859,-5.0874727, 1.8346868,-5.9399902,0.85251747, 9815.2637  0.023666562, 1.0188213
  900000, 584.31295, -3.464155,-5.2057044, 1.7415495,-6.0241389, 0.8184345, 9654.4102,0.13737484, 1.0357961
  910000, 572.20681,-3.4646372,-5.1701042,  1.705467,-5.9924401,0.82233587, 9708.2705  0.087511686, 1.0300496
  920000, 576.48227,-3.4694863,-5.1876964, 1.7182101,-6.0105168,0.82282036, 9731.1468  0.084486213, 1.0276281
  930000, 579.18701,-3.4440382,-5.1703098, 1.7262715,-5.9737557,0.80344595, 9786.7559,0.10270744,  1.021789
  940000, 571.53133,-3.5115036,-5.2149573, 1.7034537,-6.0345153,0.81955804, 9713.4492  0.050856408, 1.0295004
  950000, 584.86127,-3.4273172,-5.1705009, 1.7431837, -5.979359,0.80885805, 9721.2666  0.096800017, 1.0286725
  960000, 571.75948,-3.4555119,-5.1596457, 1.7041337,-5.9973032,0.83765755, 9722.7666  0.047030301, 1.0285138
  970000, 578.30861, -3.461846,-5.1854994, 1.7236535,-6.0035966,0.81809718, 9735.2847, 0.1075201, 1.0271913
  980000,  580.8283,-3.4690703,-5.2002337, 1.7311634,-5.9974896,0.79725586, 9731.6094,0.14412103, 1.0275793
  990000, 583.02558,-3.4302507,-5.1679631, 1.7377124,-6.0051169,0.83715379, 9678.0668,0.11202879, 1.0332642
 1000000, 579.06649,-3.4755361,-5.2014485, 1.7259124,-6.0281966,0.82674813, 9676.8568,0.10774975, 1.0333934
 1010000, 581.25874,-3.4557232,-5.1881696, 1.7324464,-6.0227613, 0.8345917, 9727.2502,0.13359436, 1.0280398
 1020000, 583.89579,-3.4546757,-5.1949818, 1.7403061, -6.002086,0.80710414, 9749.8334  0.094220011, 1.0256586
 1030000, 577.73253,-3.4693353,-5.1912718, 1.7219365,-5.9999929,0.80872112,  9665.997,0.15329617, 1.0345544
 1040000, 573.43412,-3.4860197,-5.1951447,  1.709125,-5.9897175,0.79457281, 9742.6752,0.11108524, 1.0264121
 1050000, 571.30127,-3.5003961,-5.2031641,  1.702768,-6.0063979,0.80323374, 9687.1211,0.15924828, 1.0322984
 1060000, 563.73783,-3.5406791,-5.2209043, 1.6802251,-6.0296963,0.80879204, 9719.8835  0.023872748, 1.0288189
 1070000, 578.38359, -3.440699, -5.164576,  1.723877,-5.9808339,0.81625793, 9793.8072,0.11461682, 1.0210534
 1080000, 575.12845,-3.4642912,-5.1784662,  1.714175,-5.9993603, 0.8208942, 9633.5816,0.19974574, 1.0380355
 1090000, 580.97295,-3.4431972,-5.1747918, 1.7315946,-5.9775305, 0.8027387, 9763.9237,0.16572262, 1.0241784
 1100000, 566.78457,-3.5160926,-5.2053986,  1.689306,-6.0435991, 0.8382005, 9619.8512,0.11868248, 1.0395171
 1110000, 573.57046, -3.485871,-5.1954024, 1.7095314, -5.992758,0.79735558, 9750.5989  0.088419263,  1.025578
 1120000, 570.44063,-3.5129081, -5.213111, 1.7002029,-6.0383515,0.82524057, 9712.5735,0.13594284, 1.0295932
 1130000, 575.85759,-3.4460044,-5.1623525, 1.7163482,-5.9688558,0.80650323, 9693.5137,0.12038527, 1.0316177
 1140000, 576.07198,-3.4748461,-5.1918332, 1.7169872,-6.0197776,0.82794432, 9690.2359,0.13685363, 1.0319666
 1150000, 581.29785,-3.4572999,-5.1898628, 1.7325629,-6.0270711,0.83720828, 9723.6138  0.084597282, 1.0284242
 1160000, 570.78165,-3.4956545,-5.1968738, 1.7012193,-6.0024978,0.80562404, 9667.9958,0.13422245, 1.0343405
 1170000, 574.76844,-3.4784547,-5.1915567,  1.713102,-6.0309893,0.83943266, 9699.3871  0.055688778,  1.030993
 1180000, 577.75041,-3.5013404,-5.2233302, 1.7219897,-6.0284012,0.80507103, 9675.6432  0.093700895,  1.033523
 1190000, 568.83539,-3.4892206,-5.1846391, 1.6954185,-6.0027437,0.81810455, 9762.8272  0.066437076, 1.0242935
 1200000, 575.34188,-3.5099248,-5.2247359, 1.7148111,-6.0269244,0.80218853, 9758.2888  0.028672755, 1.0247698
 1210000, 574.10017, -3.495007,-5.2061172, 1.7111102,-6.0178731,0.81175588, 9692.6981,0.12415778, 1.0317045
 1220000, 570.84855,-3.4967442,-5.1981629, 1.7014187,-6.0171589,0.81899594, 9708.0595  0.097714544,  1.030072
 1230000, 568.96908,-3.5072575,-5.2030744, 1.6958169,-6.0086262,0.80555185,  9714.026  0.095984733, 1.0294393
 1240000, 567.94655,-3.5349286,-5.2276979, 1.6927693,-6.0353381, 0.8076402, 9697.7259  0.049435076, 1.0311696
 1250000, 574.99605,-3.4542456,-5.1680259, 1.7137804,-5.9942055,0.82617956, 9677.3262,0.16981512, 1.0333433
 1260000, 572.72052,-3.5179218,-5.2249199, 1.7069981,-6.0278549,0.80293504, 9711.4454,0.05560127, 1.0297128
 1270000, 571.86201,-3.5034781,-5.2079175, 1.7044393, -6.017869,0.80995158, 9647.9671,0.17663055, 1.0364878
 1280000, 567.34097,-3.5266466,-5.2176109, 1.6909643,-6.0376127,0.82000176, 9677.8222  0.082015033, 1.0332903
 1290000, 574.06151,-3.5172989,-5.2282938,  1.710995,-6.0290802,0.80078634,  9693.464  0.046359709,  1.031623
 1300000, 567.27518,-3.5074467, -5.198215, 1.6907682,-6.0375579,0.83934297, 9698.0483 -0.00037917701, 1.0311353
 1310000, 570.60854,-3.5411398,-5.2418432, 1.7007034,-6.0577657,0.81592255, 9657.3212,0.10529748, 1.0354838
 1320000, 569.77948,-3.5381404,-5.2363728, 1.6982323,-6.0428905,0.80651772, 9664.2186,0.10695228, 1.0347448
 1330000, 567.60038,-3.5487823,-5.2405198, 1.6917375,-6.0612571,0.82073736, 9653.0812, 0.1912024, 1.0359387
 1340000,  577.1289,-3.5036868,-5.2238242, 1.7201373,-6.0445925,0.82076834, 9697.2704,0.12299887,  1.031218
 1350000, 579.89797,-3.4900979,-5.2184885, 1.7283906,-6.0098009,0.79131246, 9734.5127,0.13108152, 1.0272728
